nome_usina,fonte,capacidade_kw,latitude,longitude,data,curtailment_mw,codigo_ibge,nome_municipio,estado
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 00:00:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 00:30:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 01:00:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 01:30:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 02:00:00,0.567,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 02:30:00,3.724,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 03:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 03:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 04:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 04:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 05:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 05:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 06:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 06:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 07:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 07:30:00,13.75,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 08:00:00,10.333,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 08:30:00,3.933,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 09:00:00,2.267,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 09:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 10:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 10:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 11:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 11:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 12:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 12:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 13:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 13:30:00,1.067,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 14:00:00,2.7,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 14:30:00,3.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 15:00:00,3.933,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 15:30:00,5.733,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 16:00:00,7.754,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 16:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 17:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 17:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 18:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 18:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-01 19:00:00,,2305308,Ibiapina,CE
